Julia Version 1.6.0-DEV.185
Commit cbd854b0f4 (2020-06-06 13:20 UTC)
Platform Info:
  OS: Linux (x86_64-pc-linux-gnu)
  CPU: Intel(R) Xeon(R) Silver 4114 CPU @ 2.20GHz
  WORD_SIZE: 64
  LIBM: libopenlibm
  LLVM: libLLVM-9.0.1 (ORCJIT, skylake)
Environment:
  JULIA_DEPOT_PATH = ::/usr/local/share/julia
  JULIA_NUM_THREADS = 2

  Resolving package versions...
  Installed MINPACK ─── v1.1.1
  Installed Distances ─ v0.9.0
Updating `~/.julia/environments/v1.6/Project.toml`
  [4854310b] + MINPACK v1.1.1
Updating `~/.julia/environments/v1.6/Manifest.toml`
  [b4f34e82] + Distances v0.9.0
  [4854310b] + MINPACK v1.1.1
  [8f399da3] + Libdl
  [37e2e46d] + LinearAlgebra
  [de0858da] + Printf
  [9a3f8284] + Random
  [9e88b42a] + Serialization
  [2f01184e] + SparseArrays
  [10745b16] + Statistics
  [4ec0a83e] + Unicode
   Building MINPACK → `~/.julia/packages/MINPACK/8wsGn/deps/build.log`
    Testing MINPACK
Status `/tmp/jl_Mr5IKF/Project.toml`
  [b4f34e82] Distances v0.9.0
  [4854310b] MINPACK v1.1.1
  [37e2e46d] LinearAlgebra
  [de0858da] Printf
  [8dfed614] Test
Status `/tmp/jl_Mr5IKF/Manifest.toml`
  [b4f34e82] Distances v0.9.0
  [4854310b] MINPACK v1.1.1
  [2a0f44e3] Base64
  [8ba89e20] Distributed
  [b77e0a4c] InteractiveUtils
  [8f399da3] Libdl
  [37e2e46d] LinearAlgebra
  [56ddb016] Logging
  [d6f4376e] Markdown
  [de0858da] Printf
  [9a3f8284] Random
  [9e88b42a] Serialization
  [6462fe0b] Sockets
  [2f01184e] SparseArrays
  [10745b16] Statistics
  [8dfed614] Test
  [4ec0a83e] Unicode
Function                                          Dim    NFEV    NJEV   Final inf-norm     total time
Chebyquad-lm                                        7       9       7     1.665335e-16   1.864980e-04
Chebyquad-lm-no_g                                   7       9       7     2.696256e-16   2.457790e-04
Chebyquad-hybr                                      9      23       2     4.022407e-10   3.198790e-04
Chebyquad-hybr-no_g                                 9      23       2     3.988115e-09   3.815720e-04
Chebyquad-lm                                        9      12       9     2.343804e-16   3.174450e-04
Chebyquad-lm-no_g                                   9      12       9     1.727014e-16   3.666520e-04
Brown almost-linear10-hybr                         10      11       2     4.996004e-15   8.283738e-01
Brown almost-linear10-hybr-no_g                    10      11       2     5.995204e-15   1.456601e-01
Brown almost-linear10-lm                           10      15      13     5.551115e-16   2.685766e-01
Brown almost-linear10-lm-no_g                      10       7       5     1.000000e+00   1.764762e-01
Brown almost-linear30-hybr                         30      12       2     3.474998e-14   1.456064e-03
Brown almost-linear30-hybr-no_g                    30      24       3     2.953193e-14   2.854923e-03
Brown almost-linear30-lm                           30      19      14     1.654232e-14   5.327420e-03
Brown almost-linear30-lm-no_g                      30      11      10     1.354472e-14   2.667600e-03
Brown almost-linear40-hybr                         40      12       2     1.576517e-14   3.103411e-03
Brown almost-linear40-hybr-no_g                    40      30       3     2.353673e-14   6.435112e-03
Brown almost-linear40-lm                           40      19      14     2.409184e-14   1.020437e-02
Brown almost-linear40-lm-no_g                      40      11      10     7.327472e-15   6.012780e-03
Discrete boundary value-hybr                       10       6       1     1.582068e-15   3.823565e-01
Discrete boundary value-hybr-no_g                  10       6       1     1.582068e-15   1.848953e-01
Discrete boundary value-lm                         10       5       4     2.428613e-17   2.623271e-01
Discrete boundary value-lm-no_g                    10       5       4     3.122502e-17   2.675464e-01
Discrete integral equation-hybr                     1       6       1     2.775558e-17   3.220997e-01
Discrete integral equation-hybr-no_g                1       6       1     2.775558e-17   1.282974e-01
Discrete integral equation-lm                       1       5       4     0.000000e+00   2.709963e-01
Discrete integral equation-lm-no_g                  1       5       4     2.775558e-17   2.278415e-01
Discrete integral equation-hybr                    10       6       1     3.164136e-15   2.332620e-04
Discrete integral equation-hybr-no_g               10       6       1     3.219647e-15   1.969090e-04
Discrete integral equation-lm                      10       5       4     2.775558e-17   1.966220e-04
Discrete integral equation-lm-no_g                 10       5       4     5.551115e-17   1.973270e-04
Trigonometric-lm                                   10      28      16     4.295374e-03   7.646048e-01
Trigonometric-lm-no_g                              10      29      16     4.295461e-03   2.077823e-01
Variably dimensioned-hybr                          10      22       1     0.000000e+00   3.488898e-01
Variably dimensioned-hybr-no_g                     10      22       1     2.282952e-12   1.716771e-01
Variably dimensioned-lm                            10      16      15     0.000000e+00   3.156191e-01
Variably dimensioned-lm-no_g                       10      16      15     0.000000e+00   1.856258e-01
Broyden tridiagonal-hybr                           10      12       1     2.377046e-10   2.854090e-01
Broyden tridiagonal-hybr-no_g                      10      12       1     2.377046e-10   1.346010e-01
Broyden tridiagonal-lm                             10       6       5     4.440892e-16   3.179736e-01
Broyden tridiagonal-lm-no_g                        10       6       5     6.661338e-16   2.216121e-01
Broyden banded-hybr                                10      20       1     1.406736e-09   4.005543e-01
Broyden banded-hybr-no_g                           10      20       1     1.406737e-09   1.497393e-01
Broyden banded-lm                                  10       7       6     4.440892e-16   2.997762e-01
Broyden banded-lm-no_g                             10       7       6     6.661338e-16   2.163334e-01
Test Summary: | Pass  Total
minpack       |   81     81
    Testing MINPACK tests passed 
